, Numbers,Frequency
15,***,15
30,468,5
56,140,5
37,136,4
22,349,4
54,356,4
43,579,4
87,238,3
4,148,3
24,169,3
3,256,3
1,890,3
28,490,3
88,469,3
7,248,3
31,240,3
74,449,3
94,120,3
67,589,3
33,680,3
98,379,3
71,179,3
49,167,2
47,260,2
52,478,2
44,367,2
0,135,2
92,569,2
38,270,2
90,578,2
64,370,2
86,259,2
85,147,2
83,790,2
70,460,2
72,139,2
76,346,2
91,137,2
39,459,2
27,357,2
29,245,2
108,236,2
18,268,2
106,889,2
21,448,2
104,267,2
9,244,2
26,125,2
13,266,2
14,156,2
32,400,2
34,127,2
35,389,2
36,880,2
113,124,1
112,170,1
82,278,1
111,145,1
114,799,1
84,239,1
81,457,1
110,670,1
109,279,1
115,168,1
79,255,1
105,269,1
107,660,1
89,123,1
102,360,1
93,178,1
103,677,1
95,669,1
96,290,1
97,445,1
99,277,1
100,590,1
101,300,1
80,118,1
58,144,1
78,557,1
17,567,1
42,246,1
41,558,1
40,224,1
25,126,1
23,780,1
20,470,1
19,116,1
16,234,1
77,568,1
12,467,1
11,377,1
10,488,1
8,350,1
6,288,1
5,289,1
2,247,1
45,500,1
46,390,1
48,100,1
50,249,1
75,228,1
73,189,1
69,679,1
68,237,1
66,378,1
65,489,1
63,347,1
62,345,1
61,223,1
60,499,1
59,138,1
57,600,1
55,158,1
53,458,1
51,566,1
116,130,1
